Product Name,Category,Price,In Stock
Wood Glue,Adhesives,5.99,100
Chisel Set,Hand Tools,29.99,50
Circular Saw,Power Tools,129.99,20
Sanding Paper,Finishing Supplies,2.49,200
Wood Stain,Finishing Supplies,8.99,75
Router,Power Tools,89.99,30
Wood Screws,Hardware,0.99,500
Wood Varnish,Finishing Supplies,12.99,40
Clamp Set,Hand Tools,19.99,60
Safety Gloves,Safety Gear,7.49,150
Woodworking Magazine,Literature,5.99,100
Wood Carving Set,Hand Tools,24.99,25
Dust Mask,Safety Gear,4.99,200
Bandsaw,Power Tools,249.99,10
Wood Filler,Finishing Supplies,3.99,80
Woodworking Plans,Literature,9.99,50
Electric Drill,Power Tools,59.99,35
Measuring Tape,Hand Tools,6.99,120
Wood Router Bit Set,Power Tools,34.99,15
Woodworking Apron,Safety Gear,14.99,90